الوزن,مثال,CV_الوزن,CV_مثال
فَأْتُوعِل,وَأْتُونِى,CVCCVVCVC,CVCCVVCVV
فَتُفَعِّل,فَتُذَكِّر,CVCVCVCCVC,CVCVCVCCVC
فَتُفُعِّل,فَتُقُبِّل,CVCVCVCCVC,CVCVCVCCVC
فَعْتَنسِل,نَسْتَنسِخ,CVCCVCCVC,CVCCVCCVC
فَكَفَعَل,فَكَذَبَت,CVCVCVCVC,CVCVCVCVC
فَكَفَّعْل,فَكَذَّبْت,CVCVCCVCC,CVCVCCVCC
فَمْتَعُل,تَمْتَرُن,CVCCVCVC,CVCCVCVC
فَنَفَّعِل,فَنَتَّبِع,CVCVCCVCVC,CVCVCCVCVC
فَيَفَّعِل,فَيَتَّبِع,CVCVCCVCVC,CVCVCCVCVCV
فَيَنفَعِل,فَيَنتَقِم,CVCVCCVCVC,CVCVCCVCVC
فَيُفْعَل,فَيُقْتَل,CVCVCCVC,CVCVCCVC
فِعَأْوِيل,بِتَأْوِيل,CVCVCCVVC,CVCVCCVVC
يَبْفَعُل,يَبْنَؤُم,CVCCVCVC,CVCCVCVC
يَبْفُعَل,يَبْلُغَن,CVCCVCVC,CVCCVCVC
يَتَفَاعَل,فَلْيَتَنَافَس,CVCVCVVCVC,CVCCVCVCVVCVC
يَتَفَعَّل,يَتَأَخَّر,CVCVCVCCVC,CVCVCVCCVC
يَفْفِعَل,يَفْتِنَنَّ,CVCCVCVC,CVCCVCVCCV
يُفَآعُّل,يُحَآجُّو,CVCVCCCVC,CVCVCVCCVV
أَسْتَفْعِل,أَسْتَغْفِر,CVCCVCCVC,CVCCVCCVC
أَفَتَفْعَل,أَفَتَطْمَع,CVCVCVCCVC,CVCVCVCCVCV
أَفَتَفْعُل,أَفَتَعْبُد,CVCVCVCCVC,CVCVCVCCVCV
أَفَتُفْعِل,أَفَتُهْلِكُ,CVCVCVCCVC,CVCVCVCCVCV
تَسْتَفْعِل,تَسْتَعْجِل,CVCCVCCVC,CVCCVCCVCV
فَفَتُؤْعِل,أَفَتُؤْمِن,CVCVCVCCVC,CVCVCVCCVCV
فُعْتَمْسِل,مُسْتَمْسِك,CVCCVCCVC,CVCCVCCVCV
يَسْتَفعِل,يَسْتَنْكِف,CVCCVCCVC,CVCCVCCVC
يَسْتَفْعِل,يَسْتَغْفِر,CVCCVCCVC,CVCCVCCVC
يُسْتَفْعَل,يُسْتَضْعَف,CVCCVCCVC,CVCCVCCVCV
يُفَيِّعُل,فَلَيُغَيِّرُن,CVCVCCVCVC,CVCVCVCVCCVCVC
تَسْتَفْعِل,تَسْتَغْفِر,CVCCVCCVC,CVCCVCCVC
فَعَّيْتُمُل,سَمَّيْتُمُوهَآ,CVCCVCCVCVC,CVCCVCCVCVVCVC
فَنَتَفَعَّل,فَنَتَبَرَّأ,CVCVCVCVCCVC,CVCVCVCVCCVC
فِعْلَآءِيل,إِسْرَآءِيل,CVCCVCCVVC,CVCCVCCVVC
نَسْتَفْعِل,نَسْتَحْوِذ,CVCCVCCVC,CVCCVCCVC
يَسْتَفْعِل,فَلْيَسْتَعْفِف,CVCCVCCVC,CVCCVCCVCCVC
فُعَال,كُفَّار,CVCVVC,CVCCVVC
